reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,intrcpt,0.116,0.014,8.351,0.086,0.146,0,0.1
1,age_diff_gmc,0,0.001,0.501,-0.001,0.002,0.63,0.1
2,intrcpt,0.145,0.052,2.805,-0.012,0.302,0.061,0.1
2,prop_female_gen,-0.001,0.001,-0.624,-0.003,0.002,0.572,0.1
3,intrcpt,0.115,0.01,11.69,0.092,0.138,0,0.1
3,culture_powerdistance_gmc,-0.001,0.001,-1.234,-0.004,0.001,0.259,0.1
4,intrcpt,0.116,0.01,11.837,0.093,0.138,0,0.1
4,culture_individualism_gmc,-0.001,0.001,-1.319,-0.003,0.001,0.301,0.1
5,intrcpt,0.116,0.011,10.995,0.091,0.14,0,0.1
5,culture_mtas_gmc,0.001,0.001,1.245,-0.002,0.004,0.266,0.1
6,intrcpt,0.121,0.012,9.759,0.092,0.151,0,0.1
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.516,-0.003,0.001,0.18,0.1
7,intrcpt,0.112,0.01,11.392,0.089,0.135,0,0.1
7,culture_longtermorientation_gmc,-0.001,0.001,-0.983,-0.005,0.003,0.404,0.1
8,intrcpt,0.114,0.01,11.168,0.09,0.138,0,0.1
8,culture_indulgence_gmc,0,0.001,0.139,-0.002,0.003,0.895,0.1
9,intrcpt,0.142,0.02,7.027,0.096,0.188,0,0.1
9,dvBuckpassing,-0.062,0.035,-1.798,-0.16,0.035,0.149,0.1
9,dvDependence,-0.028,0.02,-1.421,-0.079,0.022,0.21,0.1
10,sample_type_1University students,0.098,0.022,4.477,0.018,0.178,0.032,0.1
10,sample_type_1Community,0.12,0.021,5.651,0.068,0.172,0.001,0.1
10,sample_type_1Professional,0.144,0.021,7.034,0.086,0.203,0.003,0.1
11,intrcpt,-2.285,3.638,-0.628,-14.906,10.336,0.581,0.1
11,year_of_publication,0.001,0.002,0.66,-0.005,0.007,0.563,0.1
1,intrcpt,0.115,0.014,8.376,0.085,0.145,0,0.2
1,age_diff_gmc,0,0.001,0.469,-0.001,0.002,0.652,0.2
2,intrcpt,0.143,0.052,2.73,-0.02,0.306,0.069,0.2
2,prop_female_gen,-0,0.001,-0.585,-0.003,0.002,0.597,0.2
3,intrcpt,0.115,0.01,11.684,0.092,0.138,0,0.2
3,culture_powerdistance_gmc,-0.001,0.001,-1.264,-0.004,0.001,0.25,0.2
4,intrcpt,0.115,0.01,11.668,0.092,0.138,0,0.2
4,culture_individualism_gmc,-0.001,0.001,-1.224,-0.003,0.001,0.327,0.2
5,intrcpt,0.115,0.011,10.979,0.091,0.14,0,0.2
5,culture_mtas_gmc,0.001,0.001,1.239,-0.002,0.004,0.267,0.2
6,intrcpt,0.121,0.012,9.755,0.092,0.15,0,0.2
