moderator,est,se,tval,pval,ci95
age_diff_gmc,0,0.001,0.469,0.652," [-0.001, 0.002]"
prop_female_gen,0,0.001,-0.501,0.652," [-0.003, 0.002]"
culture_powerdistance_gmc,-0.001,0.001,-1.334,0.232," [-0.004, 0.001]"
culture_individualism_gmc,-0.001,0.001,-1.006,0.401," [-0.003, 0.002]"
culture_mtas_gmc,0.001,0.001,1.225,0.27," [-0.001, 0.004]"
culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.581,0.162," [-0.003, 0.001]"
culture_longtermorientation_gmc,-0.001,0.001,-0.966,0.407," [-0.005, 0.003]"
culture_indulgence_gmc,0,0.001,0.182,0.863," [-0.002, 0.003]"
dvBuckpassing,-0.052,0.034,-1.525,0.209," [-0.151, 0.047]"
dvDependence,-0.022,0.019,-1.122,0.29," [-0.065, 0.022]"
sample_type_1University students,0.074,0.035,2.107,0.14," [-0.049, 0.196]"
sample_type_1Community,0.121,0.026,4.607,0.005," [0.055, 0.187]"
sample_type_1Professional,0.142,0.023,6.312,0.004," [0.078, 0.206]"
year_of_publication,0.001,0.002,0.622,0.585," [-0.005, 0.007]"
