"","covidence","study_id","study_label","outcome_num","title","reviewer_name","year_of_publication","study_id_1","title_1","lead_author_contact_details","country","notes","aim_of_study_1","topic_of_decision_important_general_unknown_etc_study_1","measure","dv","sample_type","groups","culture_powerdistance","culture_individualism","culture_mtas","culture_uncertaintyavoidance","culture_longtermorientation","culture_indulgence","total_number_of_participants_study_1","age_variable_study_1","age_notes","number_of_older_adults_categorical_var_study_1","number_of_young_adults_categorical_var_study_1","age_m_young_adults","min_age_young","max_age_young","age_m_older_adults","min_age_older","max_age_older","age_sd_young_adults","age_sd_older_adults","age_m_value","age_sd_value","min_age","max_age","gender_female_value","analysis","young_adults_dv_mean","young_adults_dv_sd","young_adults_dv_min","young_adults_dv_max","older_adults_dv_mean","older_adults_dv_sd","older_adults_dv_min","older_adults_dv_max","dv_age_result","dv_min","dv_max","dv_age_mean","dv_age_sd","prop_female_dv_mean","prop_female_dv_sd","prop_male_dv_mean","prop_male_dv_sd","sample_type_1"
"1",2942,"Kornilova 2018 Study1","Kornilova 2018 Group1",1,"Emotional intelligence, patterns for coping with decisional conflict, and academic achievement in cross-cultural perspective (evidence from selective Russian and Azerbaijani student populations)","Consensus",2018,"Kornilova et al. 2018","Emotional intelligence, patterns for coping with decisional conflict, and academic achievement in cross-cultural perspective (evidence from selective Russian 
and Azerbaijani student populations)","julia.k7@gmail.com"," Azerbaijan",NA,"Test cross-cultural differences in emotional intelligence and individual features of decision-making regulation.","Stressful situations","Melbourne Decision Making Questionnaire","Buckpassing","University students","Baku",85,28,50,88,59,22,79,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.48,1.33,16,22,63.29,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,"University students"
"2",2942,"Kornilova 2018 Study1","Kornilova 2018 Group2",2,"Emotional intelligence, patterns for coping with decisional conflict, and academic achievement in cross-cultural perspective (evidence from selective Russian and Azerbaijani student populations)","Consensus",2018,"Kornilova et al. 2018","Emotional intelligence, patterns for coping with decisional conflict, and academic achievement in cross-cultural perspective (evidence from selective Russian 
and Azerbaijani student populations)","julia.k7@gmail.com"," Russia",NA,"Test cross-cultural differences in emotional intelligence and individual features of decision-making regulation.","Stressful situations","Melbourne Decision Making Questionnaire","Buckpassing","University students","Moskow",93,46,36,95,58,20,195,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.62,1.14,18,28,81.03,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,"University students"
"3",2941,"Aluja 2023 Study1","Aluja 2023 Group1",1,"Psychological predictors of risky driving: the role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","Consensus",2023,"Aluja et al. 2023","Psychological predictors of risky driving: The role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","anton.aluja@udl.cat"," Spain",NA,"Examine factors involved with risky driving behaviour.","Risky driving","General Decision Making Style ","Avoidance","Community","Men Sample 1",57,67,42,86,47,44,538,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.67,16.07,18,90,0,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,2.2,0.93,"Community"
"4",2941,"Aluja 2023 Study1","Aluja 2023 Group1",2,"Psychological predictors of risky driving: the role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","Consensus",2023,"Aluja et al. 2023","Psychological predictors of risky driving: The role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","anton.aluja@udl.cat"," Spain",NA,"Examine factors involved with risky driving behaviour.","Risky driving","General Decision Making Style ","Dependence","Community","Men Sample 1",57,67,42,86,47,44,538,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.67,16.07,18,90,0,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,3.31,0.83,"Community"
"5",2941,"Aluja 2023 Study1","Aluja 2023 Group2",1,"Psychological predictors of risky driving: the role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","Consensus",2023,"Aluja et al. 2023","Psychological predictors of risky driving: The role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","anton.aluja@udl.cat"," Spain",NA,"Examine factors involved with risky driving behaviour.","Risky driving","General Decision Making Style ","Avoidance","Community","Women Sample 1",57,67,42,86,47,44,453,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.04,15.25,18,90,100,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.03,NA,NA,NA,NA,2.31,0.91,NA,NA,"Community"
"6",2941,"Aluja 2023 Study1","Aluja 2023 Group2",2,"Psychological predictors of risky driving: the role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","Consensus",2023,"Aluja et al. 2023","Psychological predictors of risky driving: The role of age, gender, personality traits (Zuckerman’s and Gray’s models), and decision-making styles","anton.aluja@udl.cat"," Spain",NA,"Examine factors involved with risky driving behaviour.","Risky driving","General Decision Making Style ","Dependence","Community","Women Sample 1",57,67,42,86,47,44,453,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.04,15.25,18,90,100,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.11,NA,NA,NA,NA,3.49,0.79,NA,NA,"Community"
"7",2940,"Berisha 2018 Study1","Berisha 2018 Single",1,"Convergent validity of two decision making style measures","Consensus",2018,"Berisha et al. 2018","Convergent validity of two decision making style measures","Email: gentrit.berisha@uni-pr.edu"," Kosovo",NA,"Study of the convergent validity of two decision-making style measures.","General/Unspecified","General Decision Making Style ","Avoidance","University students","Sample 1",NA,NA,NA,NA,NA,NA,152,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.92,0.95,20,23,57.89,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,11.38,3.81,NA,NA,NA,NA,"University students"
"8",2940,"Berisha 2018 Study1","Berisha 2018 Single",2,"Convergent validity of two decision making style measures","Consensus",2018,"Berisha et al. 2018","Convergent validity of two decision making style measures","Email: gentrit.berisha@uni-pr.edu"," Kosovo",NA,"Study of the convergent validity of two decision-making style measures.","General/Unspecified","General Decision Making Style ","Dependence","University students","Sample 1",NA,NA,NA,NA,NA,NA,152,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.92,0.95,20,23,57.89,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,19.67,3.62,NA,NA,NA,NA,"University students"
"9",2938,"Urieta 2023 Study1","Urieta 2023 Single",1,"Exploring the relationship between personality, decision-making styles, and problematic smartphone use","Consensus",2023,"Urieta et al. 2023","Exploring the relationship between personality, decision-making styles, and problematic smartphone use","Miguel A. Sorrel 
miguel.sorrel@uam.es"," Spain",NA,"Investigate the relationship between personality and problematic smartphone use, and to examine whether decision-making is a mediating factor between problematic smartphone use and personality.","Smartphone use","General Decision Making Style ","Avoidance","University students","Sample 1",57,67,42,86,47,44,1562,"Categorical (young/older groups); Continuous",NA,NA,NA,NA,18,30,NA,61,90,NA,NA,40.02,18.43,18,90,54.3,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.15,NA,NA,NA,NA,2.43,0.97,2.29,0.97,"University students"
"10",2938,"Urieta 2023 Study1","Urieta 2023 Single",2,"Exploring the relationship between personality, decision-making styles, and problematic smartphone use","Consensus",2023,"Urieta et al. 2023","Exploring the relationship between personality, decision-making styles, and problematic smartphone use","Miguel A. Sorrel 
miguel.sorrel@uam.es"," Spain",NA,"Investigate the relationship between personality and problematic smartphone use, and to examine whether decision-making is a mediating factor between problematic smartphone use and personality.","Smartphone use","General Decision Making Style ","Dependence","University students","Sample 1",57,67,42,86,47,44,1562,"Categorical (young/older groups); Continuous",NA,NA,NA,NA,18,30,NA,61,90,NA,NA,40.02,18.43,18,90,54.3,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.09,NA,NA,NA,NA,3.59,0.81,3.34,0.82,"University students"
"11",2937,"Parker 2007 Study1","Parker 2007 Single",1,"Maximizers versus satisficers: Decision-making styles, competence, and outcomes","Consensus",2007,"Parker et al. 2007","Maximizers versus satisficers: Decision-making styles, competence, and outcomes","email: parker@rand.org","United States",NA,"Investigate whether people that tend to maximize, is related to decision-making styles.","General/Unspecified","General Decision Making Style ","Avoidance","Community","Sample 1",40,60,62,46,50,68,360,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,17,18,88,73.8,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,2.6,NA,NA,NA,NA,NA,"Community"
"12",2937,"Parker 2007 Study1","Parker 2007 Single",2,"Maximizers versus satisficers: Decision-making styles, competence, and outcomes","Consensus",2007,"Parker et al. 2007","Maximizers versus satisficers: Decision-making styles, competence, and outcomes","email: parker@rand.org","United States",NA,"Investigate whether people that tend to maximize, is related to decision-making styles.","General/Unspecified","General Decision Making Style ","Dependence","Community","Sample 1",40,60,62,46,50,68,360,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,17,18,88,73.8,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,3.4,NA,NA,NA,NA,NA,"Community"
"13",2034,"DaLama 2023 Study1","DaLama 2023 Single",1,"Time Perspective and Decision-Making: A Study on Decisional Patterns in Argentinian Adults","Consensus",2023,"Fernandez Da Lama & Brenlla. 2023","Time perspective and decision-making: A study on decisional patterns in Argentinian adults."," Rocio Giselle Fernandez Da Lama, Ph.D. fellow, Center of Research in Psychology and Psychopedagogy, 
Av. Alicia Moreau de Justo 1300, C1107AAZ, Buenos Aires, Argentina. E-mail: rfernandezdalama@uca.edu.ar"," Argentina",NA,"To investigate the relationship between time perspective and decision-making.","General/Unspecified","Melbourne Decision Making Questionnaire","Buckpassing","Community","Sample 2",49,51,56,86,29,62,209,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.84,8.73,19,64,77.03,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,"Community"
"14",583,"AlAmer 2023 Study1","AlAmer 2023 Single",1,"Decision-Making Styles and Managerial Creativity of Nursing Managers in Saudi Arabia: A Multi-Center Cross-Sectional Study.","Consensus",2023,"AlAmer. 2023","Decision-making styles and managerial creativity of nursing managers in Saudi Arabia: A multi-center cross-sectional study","Department of Family and Community Medicine, College of Medicine, Imam Abdulrahman Bin Faisal University,
Dammam 34224, Saudi Arabia; naalamer@iau.edu.sa"," Saudi Arabia","Has 3 age groups (less than 30, 30-40, and 40+). Using the two extreme groups. Gender done across age.","Examine relationship between decision-making styles and managerial creativity of nursing managers.","General/Unspecified","General Decision Making Style ","Avoidance","Nursing managers","Sample 1",72,48,43,64,27,14,245,"Categorical (young/older groups)","Older group = 40+ yrs
Young group = Less than 30 yrs",27,103,NA,25,29,NA,40,59,NA,NA,33.95,6.3,25,59,97.6,"Ms and SDs",12.92,3.08,NA,NA,12.07,2.27,NA,NA,NA,7,21,NA,NA,12.82,2.89,11.67,2.34,"Professional"
"15",583,"AlAmer 2023 Study1","AlAmer 2023 Single",2,"Decision-Making Styles and Managerial Creativity of Nursing Managers in Saudi Arabia: A Multi-Center Cross-Sectional Study.","Consensus",2023,"AlAmer. 2023","Decision-making styles and managerial creativity of nursing managers in Saudi Arabia: A multi-center cross-sectional study","Department of Family and Community Medicine, College of Medicine, Imam Abdulrahman Bin Faisal University,
Dammam 34224, Saudi Arabia; naalamer@iau.edu.sa"," Saudi Arabia","Has 3 age groups (less than 30, 30-40, and 40+). Using the two extreme groups. Gender done across age.","Examine relationship between decision-making styles and managerial creativity of nursing managers.","General/Unspecified","General Decision Making Style ","Dependence","Nursing managers","Sample 1",72,48,43,64,27,14,245,"Categorical (young/older groups)","Older group = 40+ yrs
Young group = Less than 30 yrs",27,103,NA,25,29,NA,40,59,NA,NA,33.95,6.3,25,59,97.6,"Ms and SDs",17.28,2.74,NA,NA,17.44,2.74,NA,NA,NA,11,23,NA,NA,17.05,2.76,15.67,3.98,"Professional"
"16",533,"Urieta 2021 Study1","Urieta 2021 Single",1,"Decision-Making and the Alternative Five Factor Personality Model: Exploring the Role of Personality Traits, Age, Sex and Social Position.","Consensus",2021,"Urieta et al. 2021","Decision-making and the alternative five factor personality model: Exploring the role of personality traits, age, sex and social position","Anton Aluja
anton.aluja@udl.ca"," Spain",NA,"An investigation of how personality, age ranges, gender, and social position relate to decision-making.","General/Unspecified","Melbourne Decision Making Questionnaire","Buckpassing","Majority community","Sample 1",57,67,42,86,47,44,1562,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.03,18.43,18,88,54.3,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.11,NA,NA,5.05,2.67,5.3,2.69,4.76,2.61,"Community"
"17",436,"Phillips 2007 Study1","Phillips 2007 Single",1,"Decisional style and self-reported Email use in the workplace","Consensus",2007,"Phillips & Reddie. 2007","Decisional style and self-reported email use in the workplace","E-mail address: jim.phillips@med.monash.edu.au (J.G. Phillips).

","Australia",NA,"Investigation of how decisional styles relate to email use in the workplace.","Workplace email use","Melbourne Decision Making Questionnaire","Buckpassing","Workers","Sample 1",38,73,61,51,56,71,90,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,19.3,18,75,71,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.011,0,12,3.89,2.96,NA,NA,NA,NA,"Professional"
"18",385,"Calleja 2020 Study1","Calleja 2020 Single",1,"Individual predictors of tactical planning performance in junior military officers","Consensus",2020,"Calleja et al. 2020","Individual predictors of tactical planning performance in junior military officers","Benjamin L. Hoggan 
benjamin.hoggan@dst.defence.gov.au; benhoggan@gmail.com","Australia",NA,"An exploration of individual differences as predictors of tactical planning performance in a military context.","Military tactical planning","General Decision Making Style ","Avoidance","Australian Regular Army junior officers","Sample 1",38,73,61,51,56,71,52,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.79,4.7,24.5,47.5,0,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,4,2.15,0.62,NA,NA,NA,NA,"Professional"
"19",385,"Calleja 2020 Study1","Calleja 2020 Single",2,"Individual predictors of tactical planning performance in junior military officers","Consensus",2020,"Calleja et al. 2020","Individual predictors of tactical planning performance in junior military officers","Benjamin L. Hoggan 
benjamin.hoggan@dst.defence.gov.au; benhoggan@gmail.com","Australia",NA,"An exploration of individual differences as predictors of tactical planning performance in a military context.","Military tactical planning","General Decision Making Style ","Dependence","Australian Regular Army junior officers","Sample 1",38,73,61,51,56,71,52,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.79,4.7,24.5,47.5,0,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.26,2.2,4.2,3.28,0.52,NA,NA,NA,NA,"Professional"
"20",378,"Curseu 2012 Study1","Curseu 2012 Single",1,"Decision styles and rationality: An analysis of the predictive validity of the General Decision-Making Style Inventory","Consensus",2012,"Curseu & Schruijer. 2012","Decision styles and rationality: An analysis of the predictive validity of the General Decision-Making Style Inventory","Petru Lucian Cursxeu, Department of Organisation Studies, Tilburg University, Room S161, Warandelaan 2,
PO Box 90153, 5000 LE Tilburg, Netherlands
Email: p.l.curseu@uvt.nl"," Netherlands",NA,"Investigation of relation between the rational style and rationality in decision-making.","General/Unspecified","General Decision Making Style ","Avoidance","Managers","Sample 1",38,100,14,53,67,68,102,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.72,6.05,28,54,25.49,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.08,NA,NA,2.28,0.82,NA,NA,NA,NA,"Professional"
"21",378,"Curseu 2012 Study1","Curseu 2012 Single",2,"Decision styles and rationality: An analysis of the predictive validity of the General Decision-Making Style Inventory","Consensus",2012,"Curseu & Schruijer. 2012","Decision styles and rationality: An analysis of the predictive validity of the General Decision-Making Style Inventory","Petru Lucian Cursxeu, Department of Organisation Studies, Tilburg University, Room S161, Warandelaan 2,
PO Box 90153, 5000 LE Tilburg, Netherlands
Email: p.l.curseu@uvt.nl"," Netherlands",NA,"Investigation of relation between the rational style and rationality in decision-making.","General/Unspecified","General Decision Making Style ","Dependence","Managers","Sample 1",38,100,14,53,67,68,102,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.72,6.05,28,54,25.49,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,3.03,0.71,NA,NA,NA,NA,"Professional"
"22",352,"Loo 2000 Study1","Loo 2000 Single",1,"A psychometric evaluation of the General Decision-Making Style Inventory","Consensus",2000,"Loo. 2000","A psychometric evaluation of the General Decision-Making Style Inventory","E-mail address: loo@uleth.ca (R. Loo)","Canada",NA,"The main purposes of this study were to examine the psychometric properties of the GDMS, and examine the relationships between scores on these styles and social desirability. ","General/Unspecified","General Decision Making Style ","Avoidance","University students","Sample 1",39,72,52,48,54,68,223,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.67,5.21,19,50,41.7,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.15,NA,NA,2.38,0.79,NA,NA,NA,NA,"University students"
"23",352,"Loo 2000 Study1","Loo 2000 Single",2,"A psychometric evaluation of the General Decision-Making Style Inventory","Consensus",2000,"Loo. 2000","A psychometric evaluation of the General Decision-Making Style Inventory","E-mail address: loo@uleth.ca (R. Loo)","Canada",NA,"The main purposes of this study were to examine the psychometric properties of the GDMS, and examine the relationships between scores on these styles and social desirability. ","General/Unspecified","General Decision Making Style ","Dependence","University students","Sample 1",39,72,52,48,54,68,223,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.67,5.21,19,50,41.7,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,3.7,0.62,NA,NA,NA,NA,"University students"
